target,feature_1,feature_2,feature_3,avg_R2,FF,FFS,SF,SFS,TF,TFS
sigma_112_e,Mo,gamma_123_usf,tao_110_iss,0.7348607493197531,Mo,0.33839100100678854,gamma_123_usf,0.3180793627576766,tao_110_iss,0.0865118333247788
sigma_112_e,Mo,gamma_123_usf,tao_112_iss,0.7202514652252359,Mo,0.310818235480078,gamma_123_usf,0.29786216164240836,tao_112_iss,0.061887255895868847
sigma_112_e,Hf,Zr,gamma_110_usf,0.74478526561149,gamma_110_usf,0.9171393588120337,Hf,0.0019613772955061758,Zr,-0.0003047868797472263
sigma_112_e,Hf,Zr,gamma_112_usf,0.7648360101507374,gamma_112_usf,1.0472018569333257,Zr,0.000551925086867522,Hf,-0.0005261879902566203
sigma_112_e,Hf,Zr,gamma_123_usf,0.7588443206091074,gamma_123_usf,0.9670672452673323,Zr,0.0011704795287218238,Hf,0.00033148558928962975
sigma_112_e,Hf,C12,gamma_110_usf,0.7858903667947762,gamma_110_usf,0.5166562815486585,C12,0.3337645681146575,Hf,-0.0008780592191212078
sigma_112_e,Hf,C12,gamma_112_usf,0.7465344523705274,gamma_112_usf,0.370411250380343,C12,0.3195784444171437,Hf,0.013258534804838788
sigma_112_e,Hf,C12,gamma_123_usf,0.7410527601516682,gamma_123_usf,0.44869792140698733,C12,0.3038430440203691,Hf,0.009106298888273868
sigma_112_e,Hf,C44,gamma_110_usf,0.7177737304241222,gamma_110_usf,0.6991446943860079,C44,0.12202411779632032,Hf,0.004418710994469974
sigma_112_e,Hf,C44,gamma_112_usf,0.7227041118065413,gamma_112_usf,0.6292327847573299,C44,0.15438969394734817,Hf,0.006960647434632854
sigma_112_e,Hf,Ecoh_(eV),gamma_110_usf,0.7281520972420436,gamma_110_usf,1.0347357322056645,Ecoh_(eV),0.0033229936517269304,Hf,0.0009299516167081104
sigma_112_e,Hf,Ecoh_(eV),gamma_112_usf,0.7711366483549461,gamma_112_usf,0.9656507176748064,Ecoh_(eV),0.0019677695492858007,Hf,-0.0047857323377924225
sigma_112_e,Hf,Ecoh_(eV),gamma_123_usf,0.7607942013321972,gamma_123_usf,1.0060951705948646,Ecoh_(eV),0.0013558293847830787,Hf,-0.0001740704030329295
sigma_112_e,Hf,gamma_110_usf,gamma_112_usf,0.7708030512936234,gamma_112_usf,0.4226350638251901,gamma_110_usf,0.35504385653232157,Hf,0.005382915207495783
