target,feature_1,feature_2,feature_3,avg_R2,top_feature,top_feature_score,second_top_feature,second_top_feature_score
sigma_112_e,C11,gamma_123_usf,tao_112_iss,0.7102990788709103,gamma_123_usf,0.35770127264773666,C11,0.24924708724733724
sigma_112_e,C12,C44,gamma_112_usf,0.7185642714816614,gamma_112_usf,0.2887540391576618,C12,0.2862376644309686
sigma_112_e,C12,C44,gamma_123_usf,0.7363036158610209,gamma_123_usf,0.38595821532588315,C12,0.24179549198746333
sigma_112_e,C12,Ecoh_(eV),gamma_110_usf,0.7402568785253966,gamma_110_usf,0.4660930607012344,C12,0.3058632830982844
sigma_112_e,C12,Ecoh_(eV),gamma_112_usf,0.7683686184324188,gamma_112_usf,0.40004163751479166,C12,0.3422773914570521
sigma_112_e,C12,Ecoh_(eV),gamma_123_usf,0.7759756843380344,gamma_123_usf,0.41122788239992464,C12,0.332763978930825
sigma_112_e,C12,gamma_110_usf,gamma_112_usf,0.7925715048955762,C12,0.29712121859547674,gamma_110_usf,0.2109016203827567
sigma_112_e,C12,gamma_110_usf,gamma_123_usf,0.746635307306529,gamma_123_usf,0.268909383479998,C12,0.2400371897590238
sigma_112_e,C12,gamma_110_usf,tao_110_iss,0.7372132802949606,C12,0.33362749590949137,gamma_110_usf,0.3280436137065288
sigma_112_e,C12,gamma_110_usf,tao_112_iss,0.7397684256562164,gamma_110_usf,0.3341998235567716,C12,0.27780013178679525
sigma_112_e,C12,gamma_112_usf,gamma_123_usf,0.7767146138323996,gamma_112_usf,0.2778608385099573,C12,0.2517435593050193
sigma_112_e,C12,gamma_112_usf,tao_110_iss,0.7210553953906005,C12,0.32008379011116456,gamma_112_usf,0.27654531208448674
sigma_112_e,C12,gamma_112_usf,tao_112_iss,0.7550996295597102,C12,0.29682823454391255,gamma_112_usf,0.24516523412417335
sigma_112_e,C12,gamma_123_usf,tao_110_iss,0.7595796269934153,gamma_123_usf,0.320826559983684,C12,0.3001478726518479
sigma_112_e,C12,gamma_123_usf,tao_112_iss,0.7731058314875209,gamma_123_usf,0.3247698457129829,C12,0.28246332763784954
sigma_112_e,C44,Ecoh_(eV),gamma_112_usf,0.7354936511665149,gamma_112_usf,0.6601148254217998,C44,0.14726196137145614
sigma_112_e,C44,Ecoh_(eV),gamma_123_usf,0.7156754721686388,gamma_123_usf,0.6112555001352248,C44,0.15511295304048228
sigma_112_e,C44,gamma_110_usf,gamma_112_usf,0.7700339583050799,gamma_110_usf,0.30694958099191383,gamma_112_usf,0.2679648930020924
sigma_112_e,C44,gamma_110_usf,gamma_123_usf,0.7241062453523549,gamma_110_usf,0.30071422145980164,gamma_123_usf,0.2921002924869056
sigma_112_e,C44,gamma_110_usf,tao_110_iss,0.7164771774743729,gamma_110_usf,0.48985056883250744,C44,0.12891882149317005
sigma_112_e,C44,gamma_110_usf,tao_112_iss,0.715527664074708,gamma_110_usf,0.4200690873465525,C44,0.18037973716608002
sigma_112_e,C44,gamma_112_usf,gamma_123_usf,0.7751407161357601,gamma_123_usf,0.30971845844189994,gamma_112_usf,0.24520313390292314
sigma_112_e,C44,gamma_123_usf,tao_112_iss,0.7567531180976291,gamma_123_usf,0.5248548948998243,C44,0.16505894801849488
sigma_112_e,Ecoh_(eV),gamma_110_usf,gamma_112_usf,0.8017713831776452,gamma_112_usf,0.38802694789370723,gamma_110_usf,0.38568050068370524
sigma_112_e,Ecoh_(eV),gamma_110_usf,gamma_123_usf,0.7514115807901506,gamma_123_usf,0.3980487786206923,gamma_110_usf,0.34723578547627126
sigma_112_e,Ecoh_(eV),gamma_112_usf,gamma_123_usf,0.7817446035471952,gamma_123_usf,0.42481440566351764,gamma_112_usf,0.34959776626534533
sigma_112_e,Ecoh_(eV),gamma_112_usf,tao_112_iss,0.7278724798435641,gamma_112_usf,0.6769857895846619,tao_112_iss,0.14439767439474957
sigma_112_e,gamma_110_usf,gamma_112_usf,gamma_123_usf,0.7974873876814313,gamma_123_usf,0.28185714042575755,gamma_110_usf,0.22691094202109596
sigma_112_e,gamma_110_usf,gamma_112_usf,tao_110_iss,0.7634121966643246,gamma_112_usf,0.4233382426415184,gamma_110_usf,0.22597541844013447
sigma_112_e,gamma_110_usf,gamma_112_usf,tao_112_iss,0.7586167186747358,gamma_112_usf,0.308967477208099,gamma_110_usf,0.30471140360001864
sigma_112_e,gamma_110_usf,gamma_123_usf,tao_110_iss,0.76242432992674,gamma_110_usf,0.3083407087511785,gamma_123_usf,0.2661329534439803
sigma_112_e,gamma_110_usf,gamma_123_usf,tao_112_iss,0.7486336309142047,gamma_123_usf,0.3113644162219747,gamma_110_usf,0.30198171155713704
sigma_112_e,gamma_112_usf,gamma_123_usf,tao_110_iss,0.763984393707993,gamma_123_usf,0.38089341066798954,gamma_112_usf,0.24850257271724682
sigma_112_e,gamma_112_usf,gamma_123_usf,tao_112_iss,0.7198473222541325,gamma_112_usf,0.35035963277481574,gamma_123_usf,0.2939761506464687
sigma_112_s,Ti,Zr,a0,0.7111426407586655,a0,1.3911077046569618,Zr,-0.0016228901168946392
sigma_112_s,Zr,a0,Ecoh_(eV),0.7196455557334126,a0,1.222892804047318,Zr,-0.0004916534062521463
sigma_123_e,Nb,Mo,C44,0.788029801942551,Mo,0.6105482037159877,C44,0.28649876566013993
sigma_123_e,Ti,Mo,C44,0.7557430032854967,Mo,0.5689665069488808,C44,0.22516649297781247
sigma_123_e,Mo,Hf,C44,0.7952639735750625,Mo,0.5632211395421346,C44,0.3227358158077843
sigma_123_e,Mo,C44,gamma_123_usf,0.7176404135632226,gamma_123_usf,0.34300336456090147,C44,0.15996667776704654
